date,tracker_id,count_finished,count_active,length,duration,offtrack_time,avg_speed
2024-06-24,877766,47,47,739.75,16.796388888888888,7.203611111111112,44.0422048390031
2024-06-24,877767,20,21,856.61,19.289444444444445,4.710555555555555,44.40822556954004
2024-06-24,877768,68,69,829.97,19.13722222222222,4.862777777777779,43.369408076175
2024-06-24,3036043,53,54,306.53000000000003,7.116388888888888,16.88361111111111,43.07381240485578
2024-06-24,3036045,1,1,301.0,2.9747222222222223,21.025277777777777,101.18591838640396
2024-06-24,3036047,30,30,234.58,5.0925,18.9075,46.06381934216986
2024-06-24,3036049,24,24,282.34000000000003,6.339166666666666,17.660833333333333,44.538977257788886
2024-06-24,3036056,51,51,338.04,7.689166666666667,16.310833333333335,43.963151620244936
2024-06-24,3036057,2,2,819.85,8.47111111111111,15.52888888888889,96.78187303252886
2024-06-24,3036060,34,34,214.57,5.154166666666667,18.84583333333333,41.630396119644296
2024-06-24,3036068,45,46,368.54,8.502777777777778,15.497222222222222,43.343482522051616
2024-06-24,3036069,3,3,744.23,8.924722222222222,15.075277777777778,83.38971023063277
2024-06-24,3036070,45,45,134.95,3.580277777777778,20.419722222222223,37.69260609822329
2024-06-24,3036071,26,26,231.26,5.423333333333333,18.576666666666668,42.64167178856792
2024-06-25,877766,41,42,810.82,17.624444444444446,6.375555555555554,46.005421762703314
2024-06-25,877767,17,18,922.18,19.991944444444442,4.008055555555558,46.12757916382988
2024-06-25,877768,74,75,817.53,18.7475,5.252500000000001,43.60741432190959
2024-06-25,3036043,57,58,274.11,6.462777777777778,17.537222222222223,42.413650820940425
2024-06-25,3036045,3,3,902.96,8.89611111111111,15.10388888888889,101.5005308187098
2024-06-25,3036047,27,27,247.65,5.419444444444444,18.580555555555556,45.696565863659664
2024-06-25,3036049,27,27,252.35,5.719444444444444,18.280555555555555,44.12141816415736
2024-06-25,3036056,48,49,355.62,8.11111111111111,15.88888888888889,43.84356164383562
2024-06-25,3036057,3,3,1111.88,11.473055555555556,12.526944444444444,96.91228240079414
2024-06-25,3036060,33,33,218.61,5.2588888888888885,18.74111111111111,41.56961757870273
2024-06-25,3036068,44,44,384.37,8.83361111111111,15.16638888888889,43.51221659696236
2024-06-25,3036069,3,3,744.22,8.875,15.125,83.85577464788733
2024-06-25,3036070,44,44,139.66,3.6494444444444443,20.350555555555555,38.26883848378749
2024-06-25,3036071,26,26,228.01,5.352222222222222,18.647777777777776,42.60099647083247
2024-06-26,877766,48,49,725.76,16.655,7.344999999999999,43.5761032722906
2024-06-26,877767,21,22,851.33,19.04722222222222,4.952777777777779,44.69575616158671
2024-06-26,877768,72,73,806.0,18.851666666666667,5.148333333333333,42.75484042082928
2024-06-26,3036043,55,55,302.34000000000003,7.030277777777778,16.969722222222224,43.00541309415623
2024-06-26,3036045,1,1,300.82,2.933333333333333,21.066666666666666,102.55227272727274
2024-06-26,3036047,30,30,237.43,5.148888888888889,18.85111111111111,46.11286145878291
2024-06-26,3036049,24,24,259.71,6.1033333333333335,17.89666666666667,42.55215729109776
2024-06-26,3036056,49,50,343.73,8.11888888888889,15.88111111111111,42.33707403859313
2024-06-26,3036057,2,3,1022.0,10.571666666666667,13.428333333333333,96.67349834463187
2024-06-26,3036060,31,31,234.67000000000002,5.429166666666666,18.570833333333333,43.223944742901004
2024-06-26,3036068,41,41,383.46,9.065833333333334,14.934166666666666,42.297269969666324
2024-06-26,3036069,3,4,831.9399999999999,10.040833333333333,13.959166666666667,82.85567266993111
2024-06-26,3036070,45,45,148.31,3.6430555555555557,20.356944444444444,40.71033168128098
2024-06-26,3036071,22,22,258.46,6.014166666666667,17.985833333333332,42.97519745046417
2024-06-27,877766,45,45,752.39,17.156666666666666,6.843333333333334,43.85408976102584
2024-06-27,877767,19,20,871.07,19.523611111111112,4.476388888888888,44.616233904816106
2024-06-27,877768,69,70,818.39,19.10527777777778,4.894722222222221,42.83580744122479
2024-06-27,3036043,53,54,291.36,7.101944444444444,16.898055555555555,41.02538428442915
2024-06-27,3036045,2,2,602.05,5.948888888888889,18.051111111111112,101.20377288008964
2024-06-27,3036047,29,29,241.31,5.3975,18.6025,44.70773506252895
2024-06-27,3036049,23,23,272.89,6.371666666666667,17.628333333333334,42.82866858488098
2024-06-27,3036056,51,51,343.73,7.884444444444444,16.115555555555556,43.59596956031567
2024-06-27,3036057,3,4,1159.81,11.982777777777779,12.017222222222221,96.7897445407761
2024-06-27,3036060,34,34,224.5,5.2175,18.7825,43.02827024436991
2024-06-27,3036068,42,43,390.71,9.036944444444444,14.963055555555556,43.23474625764608
2024-06-27,3036069,5,5,960.97,11.835277777777778,12.164722222222222,81.19539042880278
2024-06-27,3036070,44,44,143.46,3.851111111111111,20.14888888888889,37.25158684362378
2024-06-27,3036071,24,24,201.99,4.868888888888889,19.13111111111111,41.48585120949338
2024-06-28,877766,45,45,753.24,17.135,6.864999999999998,43.959147942807114
2024-06-28,877767,22,23,838.37,18.819444444444443,5.180555555555557,44.54807380073801
2024-06-28,877768,64,65,841.22,19.426944444444445,4.573055555555555,43.30171440010295
2024-06-28,3036043,55,56,286.56,6.730277777777778,17.26972222222222,42.577737422097485
2024-06-28,3036045,1,2,426.28000000000003,4.213055555555556,19.786944444444444,101.1807213028285
2024-06-28,3036047,32,32,231.53,5.126111111111111,18.87388888888889,45.166793107185434
2024-06-28,3036049,23,23,266.83,6.198888888888889,17.801111111111112,43.0448108980104
2024-06-28,3036056,50,50,329.21,7.706666666666667,16.293333333333333,42.71756055363321
